date,rf_dly,mktrf,VMG,SMB,PMO
20000104,0.01,3.04,-0.59,-0.54,-0.28
20000105,0.01,0.3,-0.49,0.63,-0.34
20000106,0.01,4.11,0.76,-0.97,0.33
20000107,0.01,3.74,1.22,0.16,0.65
20000110,0.01,1.98,-0.44,0.58,-0.89
20000111,0.01,-4.22,-1.12,0.06,-1.11
20000112,0.01,-2.82,0.5,0.25,0.28
20000113,0.01,-0.89,-0.1,-0.01,-0.24
20000114,0.01,-1.04,-0.3,-0.18,-0.67
20000117,0.01,1.75,0.81,0.3,-0.59
20000118,0.01,-0.19,1.05,0.08,0.53
20000119,0.01,1.23,0.06,0.06,-0.62
20000120,0.01,1.78,-0.01,-0.16,-1.28
20000121,0.01,0.32,-1.49,-0.95,-1.77
20000124,0.01,1.07,-0.01,0.3,-1.81
20000125,0.01,-0.2,0.91,0.58,1.37
20000126,0.01,0.36,-0.1,-0.43,-0.48
20000127,0.01,1.79,-0.51,-1.17,-2.23
20000128,0.01,2.08,-0.83,-0.27,-0.39
20000214,0.0148,9.09,-0.02,-0.21,-0.48
20000215,0.0148,0.44,-3.59,-0.46,-4.38
20000216,0.0148,1.7,-3.33,0.83,-2.89
20000217,0.0148,-3.29,1.44,0.01,5.03
20000218,0.0148,1.69,-1.48,0.29,-3.25
20000221,0.0148,0.36,2.26,2.14,4.42
20000222,0.0148,-2.8,-0.23,-0.71,0.19
20000223,0.0148,-2.69,0.45,0.25,2.22
20000224,0.0148,2.74,-0.42,0.01,-2.08
20000225,0.0148,-0.11,-0.92,0.39,-0.29
20000228,0.0148,4.6,-1.41,-0.53,-2.35
20000229,0.0148,0.26,0.6,-0.58,2.23
20000301,0.0082,-1.02,0.96,1.62,1.4
20000302,0.0082,0.72,-1.02,0.06,-1.13
20000303,0.0082,1.29,0.93,0.42,0.21
20000306,0.0082,-3.73,1.46,0.03,3.29
20000307,0.0082,1.17,0.97,-0.5,0.43
20000308,0.0082,1.81,-1.27,-0.1,-1.37
20000309,0.0082,0.17,0.26,-0.51,0.65
20000310,0.0082,-1.41,-1.83,-0.27,-0.69
20000313,0.0082,1.52,-0.64,0.35,0.76
20000314,0.0082,-2.64,0.18,1.05,0.92
20000315,0.0082,-0.09,0.11,1.29,1.51
20000316,0.0082,-4.51,0.36,-0.22,1.79
20000317,0.0082,3.36,-1.2,-0.2,-1.51
20000320,0.0082,2.51,-0.78,0.94,0.31
20000321,0.0082,0.59,0.44,0.82,0.25
20000322,0.0082,0.82,-0.68,-0.33,-1.05
20000323,0.0082,1.48,-0.21,0.8,-0.78
20000324,0.0082,-0.95,-0.28,0.25,0.1
20000327,0.0082,2.54,1.31,1.61,1.43
20000328,0.0082,0.9,0.83,0.13,0.12
20000329,0.0082,-0.23,-0.66,-0.34,-0.32
20000330,0.0082,1.11,0.5,0.57,0.75
20000331,0.0082,-0.74,-0.22,0.01,0.24
20000403,0.0092,-0.14,-0.34,-0.17,0.43
20000404,0.0092,-2.22,0.07,-0.32,0.61
20000405,0.0092,0.58,-0.02,0.69,-0.32
20000406,0.0092,2.13,-0.41,0.55,-0.64
20000407,0.0092,0.69,0.53,0.06,0.07
20000410,0.0092,0.45,1.19,0.65,-0.03
